nurse_id,first_name,last_name,gender,age,race_ethnicity,education_nurse,years_licensed,license_type,primary_setting,specialty,multistate_license,full_time,hire_date
N0001,Alex,Martinez,Female,57,Other,Baccalaureate,37,RN,Hospital,Geriatrics,False,False,2022-05-05
N0002,Alex,Chen,Male,29,White,Associate,8,RN,Clinic,Geriatrics,False,True,2010-07-01
N0003,Jamie,Martinez,Female,44,White,Baccalaureate,28,RN,Nursing home,Geriatrics,False,False,2008-07-23
N0004,Taylor,Lee,Female,55,White,Baccalaureate,31,LPN,Hospital,Med-surg,False,False,2014-03-03
N0005,Sam,Brown,Female,55,Black,Baccalaureate,9,RN,Hospital,Cardiac,False,True,2013-06-29
N0006,Casey,Wong,Female,56,White,Baccalaureate,29,RN,Clinic,Pediatrics,False,True,2013-01-02
N0007,Jordan,Nguyen,Female,38,White,Associate,14,RN,Hospital,Pediatrics,False,True,2011-02-17
N0008,Chris,Martinez,Female,59,Hispanic,Baccalaureate,40,RN,Hospital,Psychiatry,False,True,2010-04-19
N0009,Morgan,Chen,Female,52,Asian,Baccalaureate,41,RN,Hospital,Psychiatry,False,True,2023-03-06
N0010,Chris,Wong,Female,44,Hispanic,Baccalaureate,22,RN,Hospital,Other,True,True,2020-03-25
N0011,Jess,Patel,Female,43,White,Baccalaureate,11,RN,Ambulatory,Psychiatry,True,False,2009-12-13
N0012,Alex,Patel,Male,52,White,Baccalaureate,23,RN,Home health,Geriatrics,False,False,2021-03-30
N0013,Jordan,Smith,Female,57,White,Doctorate,1,RN,Hospital,Pediatrics,False,False,2017-06-18
N0014,Jess,Nguyen,Female,32,Hispanic,Baccalaureate,37,RN,Hospital,Cardiac,False,True,2008-09-17
N0015,Sam,Lee,Female,33,Asian,Associate,21,RN,Ambulatory,Geriatrics,False,True,2008-09-01
N0016,Morgan,Chen,Female,43,White,Associate,26,APRN,Clinic,Med-surg,False,True,2010-02-06
N0017,Taylor,Brown,Female,45,White,Associate,36,RN,Nursing home,Psychiatry,False,True,2012-11-26
N0018,Jordan,Brown,Female,55,White,Baccalaureate,23,RN,Clinic,Geriatrics,True,False,2013-03-20
N0019,Jordan,Chen,Female,61,Black,Associate,1,APRN,Ambulatory,Geriatrics,False,False,2019-05-02
N0020,Alex,Davis,Female,50,Other,Associate,40,RN,Home health,Med-surg,False,True,2021-07-02
N0021,Drew,Lee,Female,37,White,Baccalaureate,15,APRN,Hospital,Emergency,False,False,2008-08-05
N0022,Jordan,Wong,Female,40,White,Associate,21,RN,Hospital,Pediatrics,False,False,2020-08-02
N0023,Jamie,Martinez,Female,45,White,Masters,9,RN,Home health,Cardiac,True,True,2012-06-16
N0024,Morgan,Davis,Female,42,Hispanic,Associate,9,RN,Hospital,Other,True,False,2022-07-29
N0025,Morgan,Martinez,Female,33,Asian,Baccalaureate,10,RN,Home health,Emergency,True,True,2023-09-24
N0026,Jamie,Martinez,Female,39,Asian,Baccalaureate,26,RN,Hospital,Psychiatry,False,True,2020-03-22
N0027,Casey,Davis,Female,56,White,Doctorate,41,RN,Hospital,Geriatrics,True,True,2017-05-29
N0028,Jamie,Smith,Female,32,White,Associate,35,RN,Hospital,Med-surg,False,True,2012-12-10
N0029,Jamie,Patel,Female,61,White,Baccalaureate,25,RN,Hospital,Med-surg,False,True,2018-01-27
N0030,Morgan,Martinez,Female,39,White,Masters,26,RN,Ambulatory,Pediatrics,True,True,2021-03-20
N0031,Chris,Davis,Female,32,Asian,Masters,11,RN,Home health,Emergency,False,True,2014-03-28
N0032,Morgan,Davis,Female,29,Black,Baccalaureate,38,RN,Home health,Other,True,True,2008-02-23
N0033,Drew,Garcia,Female,27,Multiracial,Baccalaureate,2,RN,Nursing home,Pediatrics,False,True,2011-07-31
N0034,Alex,Smith,Male,48,Multiracial,Associate,7,RN,Hospital,Geriatrics,True,True,2023-08-29
N0035,Jess,Nguyen,Male,34,White,Baccalaureate,18,RN,Hospital,Pediatrics,False,True,2017-06-24
N0036,Chris,Garcia,Female,51,Black,Masters,27,APRN,Hospital,Cardiac,True,True,2015-08-19
N0037,Taylor,Garcia,Female,39,Hispanic,Baccalaureate,34,RN,Hospital,Med-surg,False,True,2014-03-26
N0038,Jess,Chen,Female,36,Asian,Baccalaureate,27,RN,Hospital,Med-surg,False,True,2011-06-27
N0039,Alex,Patel,Female,25,White,Baccalaureate,17,RN,Hospital,Psychiatry,False,True,2012-10-29
N0040,Drew,Davis,Female,55,White,Baccalaureate,24,RN,Hospital,Psychiatry,False,True,2015-07-20
N0041,Drew,Patel,Female,32,White,Associate,25,LPN,Ambulatory,Other,False,False,2010-04-17
